Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Метод определения;Формула;Радиус;Погрешность;Описание закрепления;Примечание
;;;;;;;;;;;;
[1];н;1;;;447255.13;2514891.95;;;;0.1;Закрепление отсутствует;
[1];н;2;;;447253.81;2514913.18;;;;0.1;Закрепление отсутствует;
[1];н;3;;;447241.02;2514913.18;;;;0.1;Закрепление отсутствует;
[1];н;4;;;447209.04;2514913.18;;;;0.1;Закрепление отсутствует;
[1];н;1;;;447255.13;2514891.95;;;;0.1;Закрепление отсутствует;
